National_Dex,Pokemon,Form,Series
136,Flareon,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA', 'SV']"
137,Porygon,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA', 'SV']"
138,Omanyte,,"['RGBY', 'FrLg', 'PE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'SwSh']"
139,Omastar,,"['RGBY', 'FrLg', 'PE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'SwSh']"
140,Kabuto,,"['RGBY', 'FrLg', 'PE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'SwSh']"
141,Kabutops,,"['RGBY', 'FrLg', 'PE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'SwSh']"
142,Aerodactyl,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'ZA']"
143,Snorlax,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'SV']"
144,Articuno,,"['RGBY', 'FrLg', 'PE', 'DPPt', 'HgSs', 'XY', 'UsUm', 'BdSp', 'SwSh', 'SV']"
144,Articuno,Galarian,"['SwSh', 'SV']"
145,Zapdos,,"['RGBY', 'FrLg', 'PE', 'DPPt', 'HgSs', 'XY', 'UsUm', 'BdSp', 'SwSh', 'SV']"
145,Zapdos,Galarian,"['SwSh', 'SV']"
146,Moltres,,"['RGBY', 'FrLg', 'PE', 'DPPt', 'HgSs', 'XY', 'UsUm', 'BdSp', 'SwSh', 'SV']"
146,Moltres,Galarian,"['SwSh', 'SV']"
147,Dratini,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'SM', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
148,Dragonair,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'SM', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
149,Dragonite,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'SM', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
150,Mewtwo,,"['RGBY', 'FrLg', 'PE', 'HgSs', 'XY', 'OrAs', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
151,Mew,,"['RGBY', 'PE', 'HgSs', 'XY', 'OrAs', 'SM', 'BdSp', 'SwSh', 'SV']"
152,Chikorita,,"['GSC', 'RSE', 'HgSs', 'OrAs', 'SM', 'BdSp', 'ZA', 'SV']"
153,Bayleef,,"['GSC', 'RSE', 'HgSs', 'OrAs', 'SM', 'BdSp', 'ZA', 'SV']"
154,Meganium,,"['GSC', 'RSE', 'HgSs', 'OrAs', 'SM', 'BdSp', 'ZA', 'SV']"
155,Cyndaquil,,"['GSC', 'RSE', 'HgSs', 'OrAs', 'SM', 'BdSp', 'LA', 'SV']"
156,Quilava,,"['GSC', 'RSE', 'HgSs', 'OrAs', 'SM', 'BdSp', 'LA', 'SV']"
157,Typhlosion,,"['GSC', 'RSE', 'HgSs', 'OrAs', 'SM', 'BdSp', 'SV']"
157,Typhlosion,Hisuian,"['LA', 'SV']"
158,Totodile,,"['GSC', 'RSE', 'HgSs', 'OrAs', 'SM', 'BdSp', 'ZA', 'SV']"
159,Croconaw,,"['GSC', 'RSE', 'HgSs', 'OrAs', 'SM', 'BdSp', 'ZA', 'SV']"
160,Feraligatr,,"['GSC', 'RSE', 'HgSs', 'OrAs', 'SM', 'BdSp', 'ZA', 'SV']"
161,Sentret,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'BdSp', 'SV']"
162,Furret,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'BdSp', 'SV']"
163,Hoothoot,,"['GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'UsUm', 'BdSp', 'SwSh', 'SV']"
164,Noctowl,,"['GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'UsUm', 'BdSp', 'SwSh', 'SV']"
165,Ledyba,,"['FrLg', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'SM', 'UsUm', 'BdSp']"
166,Ledian,,"['FrLg', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'SM', 'UsUm', 'BdSp']"
167,Spinarak,,"['FrLg', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'ZA', 'SV']"
168,Ariados,,"['FrLg', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'ZA', 'SV']"
169,Crobat,,"['FrLg', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA']"
170,Chinchou,,"['GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'SV']"
171,Lanturn,,"['GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'SV']"
172,Cleffa,,['SwSh']
172,Pichu,,"['FrLg', 'GSC', 'RSE', 'DPPt', 'HgSs', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA', 'SV']"
173,Cleffa,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'ZA', 'SV']"
174,Igglybuff,,"['FrLg', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
175,Togepi,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'BdSp', 'LA', 'SwSh']"
176,Togetic,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'BdSp', 'LA', 'SwSh']"
177,Natu,,"['FrLg', 'GSC', 'RSE', 'DPPt', 'HgSs', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'SwSh']"
178,Xatu,,"['FrLg', 'GSC', 'RSE', 'DPPt', 'HgSs', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'SwSh']"
179,Mareep,,"['GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'UsUm', 'BdSp', 'ZA', 'SV']"
180,Flaaffy,,"['GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'UsUm', 'BdSp', 'ZA', 'SV']"
181,Ampharos,,"['GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'UsUm', 'BdSp', 'ZA', 'SV']"
182,Bellossom,,"['FrLg', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'XY', 'OrAs', 'BdSp', 'SwSh', 'SV']"
183,Marill,,"['FrLg', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'BdSp', 'SwSh', 'SV']"
184,Azumarill,,"['FrLg', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'BdSp', 'SwSh', 'SV']"
185,Sudowoodo,,"['GSC', 'RSE', 'DPPt', 'HgSs', 'B2W2', 'XY', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'SV']"
186,Politoed,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'SM', 'UsUm', 'BdSp', 'SwSh', 'SV']"
187,Hoppip,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'BdSp', 'SV']"
188,Skiploom,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'BdSp', 'SV']"
189,Jumpluff,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'BdSp', 'SV']"
190,Aipom,,"['GSC', 'RSE', 'DPPt', 'HgSs', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'LA', 'SV']"
191,Sunkern,,"['GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'BdSp', 'SV']"
192,Sunflora,,"['GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'BdSp', 'SV']"
193,Yanma,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'UsUm', 'BdSp', 'LA', 'SV']"
194,Wooper,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'B2W2', 'XY', 'UsUm', 'BdSp', 'SwSh', 'SV']"
194,Wooper,Paldean,['SV']
195,Quagsire,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'B2W2', 'XY', 'UsUm', 'BdSp', 'SwSh', 'SV']"
196,Espeon,,"['GSC', 'DPPt', 'HgSs', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA', 'SV']"
197,Umbreon,,"['GSC', 'DPPt', 'HgSs', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA', 'SV']"
198,Murkrow,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SV']"
199,Slowking,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
199,Slowking,Galarian,"['SwSh', 'ZA', 'SV']"
200,Misdreavus,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'BW', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SV']"
201,Unown,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'OrAs', 'BdSp', 'LA']"
202,Wobbuffet,,"['FrLg', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'BdSp', 'SwSh']"
203,Girafarig,,"['GSC', 'RSE', 'DPPt', 'HgSs', 'B2W2', 'XY', 'OrAs', 'BdSp', 'SV']"
204,Pineco,,"['GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'SV']"
205,Forretress,,"['GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'SV']"
206,Dunsparce,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'UsUm', 'BdSp', 'SwSh', 'SV']"
207,Gligar,,"['GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'BdSp', 'LA', 'SV']"
208,Steelix,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA']"
209,Snubbull,,"['GSC', 'RSE', 'DPPt', 'HgSs', 'B2W2', 'XY', 'SM', 'UsUm', 'BdSp', 'SV']"
210,Granbull,,"['GSC', 'RSE', 'DPPt', 'HgSs', 'B2W2', 'XY', 'SM', 'UsUm', 'BdSp', 'SV']"
211,Qwilfish,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'BdSp', 'SwSh', 'ZA', 'SV']"
211,Qwilfish,Hisuian,"['LA', 'ZA', 'SV']"
212,Scizor,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'XY', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA', 'SV']"
213,Shuckle,,"['GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'BdSp', 'SwSh']"
214,Heracross,,"['FrLg', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA', 'SV']"
215,Sneasel,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'SV']"
215,Sneasel,Hisuian,"['LA', 'SV']"
216,Teddiursa,,"['GSC', 'RSE', 'DPPt', 'HgSs', 'B2W2', 'XY', 'BdSp', 'LA', 'SV']"
217,Ursaring,,"['GSC', 'RSE', 'DPPt', 'HgSs', 'B2W2', 'XY', 'BdSp', 'LA', 'SV']"
218,Slugma,,"['FrLg', 'GSC', 'RSE', 'DPPt', 'HgSs', 'XY', 'OrAs', 'UsUm', 'BdSp', 'SV']"
219,Magcargo,,"['FrLg', 'GSC', 'RSE', 'DPPt', 'HgSs', 'XY', 'OrAs', 'UsUm', 'BdSp', 'SV']"
220,Swinub,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'SV']"
221,Piloswine,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'SV']"
222,Corsola,,"['GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh']"
222,Corsola,Galarian,['SwSh']
223,Remoraid,,"['FrLg', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'LA', 'SwSh']"
224,Octillery,,"['FrLg', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'LA', 'SwSh']"
225,Delibird,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
226,Mantine,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'LA', 'SwSh']"
227,Skarmory,,"['FrLg', 'GSC', 'RSE', 'DPPt', 'HgSs', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
228,Houndour,,"['GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'XY', 'UsUm', 'BdSp', 'ZA', 'SV']"
229,Houndoom,,"['GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'XY', 'UsUm', 'BdSp', 'ZA', 'SV']"
230,Kingdra,,"['FrLg', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'SV']"
231,Phanpy,,"['FrLg', 'GSC', 'RSE', 'DPPt', 'HgSs', 'B2W2', 'XY', 'OrAs', 'BdSp', 'SV']"
232,Donphan,,"['FrLg', 'GSC', 'RSE', 'DPPt', 'HgSs', 'B2W2', 'XY', 'OrAs', 'BdSp', 'SV']"
233,Porygon2,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'BW', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA', 'SV']"
234,Stantler,,"['GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'OrAs', 'BdSp', 'LA', 'SV']"
235,Smeargle,,"['GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'XY', 'SM', 'UsUm', 'BdSp', 'SV']"
236,Tyrogue,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'BW', 'XY', 'OrAs', 'BdSp', 'SwSh', 'SV']"
237,Hitmontop,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'BW', 'XY', 'OrAs', 'BdSp', 'SwSh', 'SV']"
238,Smoochum,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'BW', 'XY', 'UsUm', 'BdSp', 'SwSh']"
239,Elekid,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'SV']"
240,Magby,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'SV']"
241,Miltank,,"['GSC', 'RSE', 'DPPt', 'HgSs', 'XY', 'SM', 'UsUm', 'BdSp', 'SwSh']"
242,Blissey,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'SV']"
243,Raikou,,"['FrLg', 'GSC', 'HgSs', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'SV']"
244,Entei,,"['FrLg', 'GSC', 'HgSs', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'SV']"
245,Suicune,,"['FrLg', 'GSC', 'HgSs', 'OrAs', 'UsUm', 'BdSp', 'SwSh', 'SV']"
246,Larvitar,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
247,Pupitar,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
248,Tyranitar,,"['FrLg', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
249,Lugia,,"['FrLg', 'GSC', 'RSE', 'HgSs', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'SV']"
250,Ho-Oh,,"['FrLg', 'GSC', 'RSE', 'HgSs', 'BW', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'SV']"
251,Celebi,,"['GSC', 'HgSs', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh']"
252,Treecko,,"['RSE', 'HgSs', 'OrAs', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
253,Grovyle,,"['RSE', 'HgSs', 'OrAs', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
254,Sceptile,,"['RSE', 'HgSs', 'OrAs', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
255,Torchic,,"['RSE', 'HgSs', 'OrAs', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
256,Combusken,,"['RSE', 'HgSs', 'OrAs', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
257,Blaziken,,"['RSE', 'HgSs', 'OrAs', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
258,Mudkip,,"['RSE', 'HgSs', 'OrAs', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
259,Marshtomp,,"['RSE', 'HgSs', 'OrAs', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
260,Swampert,,"['RSE', 'HgSs', 'OrAs', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
261,Poochyena,,"['RSE', 'DPPt', 'HgSs', 'BW', 'XY', 'OrAs', 'BdSp', 'SV']"
262,Mightyena,,"['RSE', 'DPPt', 'HgSs', 'BW', 'XY', 'OrAs', 'BdSp', 'SV']"
263,Zigzagoon,,"['RSE', 'DPPt', 'HgSs', 'XY', 'OrAs', 'BdSp', 'SwSh']"
263,Zigzagoon,Galarian,['SwSh']
264,Linoone,,"['RSE', 'DPPt', 'HgSs', 'XY', 'OrAs', 'BdSp', 'SwSh']"
264,Linoone,Galarian,['SwSh']
265,Wurmple,,"['RSE', 'DPPt', 'HgSs', 'BW', 'XY', 'OrAs', 'BdSp', 'LA']"
266,Silcoon,,"['RSE', 'DPPt', 'HgSs', 'BW', 'XY', 'OrAs', 'BdSp', 'LA']"
267,Beautifly,,"['RSE', 'DPPt', 'HgSs', 'BW', 'XY', 'OrAs', 'BdSp', 'LA']"
268,Cascoon,,"['RSE', 'DPPt', 'HgSs', 'BW', 'XY', 'OrAs', 'BdSp', 'LA']"
269,Dustox,,"['RSE', 'DPPt', 'HgSs', 'BW', 'XY', 'OrAs', 'BdSp', 'LA']"
270,Lotad,,"['RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'SwSh', 'SV']"
271,Lombre,,"['RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'SwSh', 'SV']"
272,Ludicolo,,"['RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'SwSh', 'SV']"
273,Seedot,,"['RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'SwSh', 'SV']"
274,Nuzleaf,,"['RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'SwSh', 'SV']"
275,Shiftry,,"['RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'SwSh', 'SV']"
276,Taillow,,"['RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp']"
277,Swellow,,"['RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp']"
278,Wingull,,"['RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'SV']"
279,Pelipper,,"['RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'SV']"
280,Ralts,,"['RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA', 'SV']"
281,Kirlia,,"['RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA', 'SV']"
282,Gardevoir,,"['RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA', 'SV']"
283,Surskit,,"['RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SV']"
284,Masquerain,,"['RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SV']"
285,Shroomish,,"['RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'BdSp', 'SV']"
286,Breloom,,"['RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'BdSp', 'SV']"
287,Slakoth,,"['RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'OrAs', 'SM', 'BdSp', 'SV']"
288,Vigoroth,,"['RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'OrAs', 'SM', 'BdSp', 'SV']"
289,Slaking,,"['RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'OrAs', 'SM', 'BdSp', 'SV']"
290,Nincada,,"['RSE', 'DPPt', 'HgSs', 'XY', 'OrAs', 'BdSp', 'SwSh']"
291,Ninjask,,"['RSE', 'DPPt', 'HgSs', 'XY', 'OrAs', 'BdSp', 'SwSh']"
292,Shedinja,,"['RSE', 'DPPt', 'HgSs', 'XY', 'OrAs', 'BdSp', 'SwSh']"
293,Whismur,,"['RSE', 'DPPt', 'HgSs', 'BW', 'XY', 'OrAs', 'BdSp', 'SwSh']"
294,Loudred,,"['RSE', 'DPPt', 'HgSs', 'BW', 'XY', 'OrAs', 'BdSp', 'SwSh']"
295,Exploud,,"['RSE', 'DPPt', 'HgSs', 'BW', 'XY', 'OrAs', 'BdSp', 'SwSh']"
296,Makuhita,,"['RSE', 'DPPt', 'HgSs', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SV']"
297,Hariyama,,"['RSE', 'DPPt', 'HgSs', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SV']"
298,Azurill,,"['FrLg', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'BdSp', 'SwSh', 'SV']"
299,Nosepass,,"['RSE', 'DPPt', 'HgSs', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SV']"
300,Skitty,,"['RSE', 'DPPt', 'HgSs', 'B2W2', 'XY', 'OrAs', 'BdSp']"
301,Delcatty,,"['RSE', 'DPPt', 'HgSs', 'B2W2', 'XY', 'OrAs', 'BdSp']"
302,Sableye,,"['RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
303,Mawile,,"['RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'SwSh', 'ZA']"
304,Aron,,"['RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'SwSh', 'ZA']"
305,Lairon,,"['RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'SwSh', 'ZA']"
306,Aggron,,"['RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'SwSh', 'ZA']"
307,Meditite,,"['RSE', 'DPPt', 'HgSs', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'ZA', 'SV']"
308,Medicham,,"['RSE', 'DPPt', 'HgSs', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'ZA', 'SV']"
309,Electrike,,"['RSE', 'DPPt', 'HgSs', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'SwSh', 'ZA']"
310,Manectric,,"['RSE', 'DPPt', 'HgSs', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'SwSh', 'ZA']"
311,Plusle,,"['RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'BdSp', 'SV']"
