National_Dex,Pokemon,Dex
112,Rhydon,"['Blueberry', 'Galar', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Sinnoh (Pt)']"
113,Chansey,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'DP', 'Hisui ', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
114,Tangela,"['Hisui ', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
115,Kangaskhan,"['Alola (SM)', 'Alola (USUM)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose']"
116,Horsea,"['Blueberry', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
117,Seadra,"['Blueberry', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
118,Goldeen,"['Alola (SM)', 'Alola (USUM)', 'DP', 'Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
119,Seaking,"['Alola (SM)', 'Alola (USUM)', 'DP', 'Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
120,Staryu,"['Alola (SM)', 'Alola (USUM)', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose', 'Unova (B2W2)']"
121,Starmie,"['Alola (SM)', 'Alola (USUM)', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose', 'Unova (B2W2)']"
122,Mr. Mime,"['Alola (USUM)', 'Crown_Tundra', 'DP', 'Galar', 'Hisui ', 'Hyperspace', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
123,Scyther,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Hisui ', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose', 'Paldea', 'Sinnoh (Pt)']"
124,Jynx,"['Alola (USUM)', 'Crown_Tundra', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
125,Electabuzz,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Crown_Tundra', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
126,Magmar,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Crown_Tundra', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
127,Pinsir,"['Alola (SM)', 'Alola (USUM)', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose', 'Unova (B2W2)']"
128,Tauros,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Paldea']"
129,Magikarp,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'DP', 'Galar', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Kitakami', 'Lumiose', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
130,Gyarados,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'DP', 'Galar', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Kitakami', 'Lumiose', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
131,Lapras,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Crown_Tundra', 'Galar', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Unova (B2W2)']"
132,Ditto,"['Alola (SM)', 'Alola (USUM)', 'Galar', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Paldea', 'Unova (B2W2)']"
133,Eevee,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'Galar', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose', 'Paldea', 'Sinnoh (Pt)', 'Unova (B2W2)']"
134,Vaporeon,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'Galar', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose', 'Paldea', 'Sinnoh (Pt)', 'Unova (B2W2)']"
135,Jolteon,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'Galar', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose', 'Paldea', 'Sinnoh (Pt)', 'Unova (B2W2)']"
136,Flareon,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'Galar', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose', 'Paldea', 'Sinnoh (Pt)', 'Unova (B2W2)']"
137,Porygon,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Hisui ', 'Hyperspace', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Sinnoh (Pt)']"
138,Omanyte,"['Alola (USUM)', 'Crown_Tundra', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
139,Omastar,"['Alola (USUM)', 'Crown_Tundra', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
140,Kabuto,"['Alola (USUM)', 'Crown_Tundra', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
141,Kabutops,"['Alola (USUM)', 'Crown_Tundra', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
142,Aerodactyl,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose']"
143,Snorlax,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'DP', 'Galar', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Kitakami', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
144,Articuno,"['Crown_Tundra', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
145,Zapdos,"['Crown_Tundra', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
146,Moltres,"['Crown_Tundra', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
147,Dratini,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose', 'Paldea']"
148,Dragonair,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose', 'Paldea']"
149,Dragonite,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose', 'Paldea']"
150,Mewtwo,"['Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose']"
151,Mew,"['Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
152,Chikorita,"['Blueberry', 'Johto (GSC)', 'Johto (HgSs)', 'Lumiose']"
153,Bayleef,"['Blueberry', 'Johto (GSC)', 'Johto (HgSs)', 'Lumiose']"
154,Meganium,"['Blueberry', 'Johto (GSC)', 'Johto (HgSs)', 'Lumiose']"
155,Cyndaquil,"['Blueberry', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)']"
156,Quilava,"['Blueberry', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)']"
157,Typhlosion,"['Blueberry', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)']"
158,Totodile,"['Blueberry', 'Johto (GSC)', 'Johto (HgSs)', 'Lumiose']"
159,Croconaw,"['Blueberry', 'Johto (GSC)', 'Johto (HgSs)', 'Lumiose']"
160,Feraligatr,"['Blueberry', 'Johto (GSC)', 'Johto (HgSs)', 'Lumiose']"
161,Sentret,"['Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kitakami']"
162,Furret,"['Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kitakami']"
163,Hoothoot,"['Alola (USUM)', 'DP', 'Galar', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kitakami', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
164,Noctowl,"['Alola (USUM)', 'DP', 'Galar', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kitakami', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
165,Ledyba,"['Alola (SM)', 'Alola (USUM)', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos']"
166,Ledian,"['Alola (SM)', 'Alola (USUM)', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos']"
167,Spinarak,"['Alola (SM)', 'Alola (USUM)', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kitakami', 'Lumiose']"
168,Ariados,"['Alola (SM)', 'Alola (USUM)', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kitakami', 'Lumiose']"
169,Crobat,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'DP', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Hyperspace', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
170,Chinchou,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos']"
171,Lanturn,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos']"
172,Pichu,"['Alola (SM)', 'Alola (USUM)', 'DP', 'Galar', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kitakami', 'Lumiose', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
173,Cleffa,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'DP', 'Galar', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kitakami', 'Lumiose', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
174,Igglybuff,"['Alola (SM)', 'Alola (USUM)', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Hyperspace', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Paldea', 'Unova (B2W2)']"
175,Togepi,"['Galar', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Sinnoh (Pt)']"
176,Togetic,"['Galar', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Sinnoh (Pt)']"
177,Natu,"['Alola (USUM)', 'Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Johto (GSC)', 'Johto (HgSs)']"
178,Xatu,"['Alola (USUM)', 'Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Johto (GSC)', 'Johto (HgSs)']"
179,Mareep,"['Alola (USUM)', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Lumiose', 'Paldea', 'Unova (B2W2)']"
180,Flaaffy,"['Alola (USUM)', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Lumiose', 'Paldea', 'Unova (B2W2)']"
181,Ampharos,"['Alola (USUM)', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Lumiose', 'Paldea', 'Unova (B2W2)']"
182,Bellossom,"['Blueberry', 'Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos']"
183,Marill,"['DP', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
184,Azumarill,"['DP', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
185,Sudowoodo,"['Alola (SM)', 'Alola (USUM)', 'DP', 'Galar', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kitakami', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
186,Politoed,"['Alola (SM)', 'Alola (USUM)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kitakami']"
187,Hoppip,"['Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Paldea']"
188,Skiploom,"['Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Paldea']"
189,Jumpluff,"['Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Paldea']"
190,Aipom,"['Alola (USUM)', 'DP', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kitakami', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
191,Sunkern,"['Johto (GSC)', 'Johto (HgSs)', 'Paldea', 'Unova (B2W2)']"
192,Sunflora,"['Johto (GSC)', 'Johto (HgSs)', 'Paldea', 'Unova (B2W2)']"
193,Yanma,"['Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kitakami', 'Sinnoh (Pt)', 'Unova (B2W2)']"
194,Wooper,"['DP', 'Galar', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kitakami', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
195,Quagsire,"['DP', 'Galar', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kitakami', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
196,Espeon,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'Galar', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Lumiose', 'Paldea', 'Sinnoh (Pt)', 'Unova (B2W2)']"
197,Umbreon,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'Galar', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Lumiose', 'Paldea', 'Sinnoh (Pt)', 'Unova (B2W2)']"
198,Murkrow,"['Alola (SM)', 'Alola (USUM)', 'DP', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
199,Slowking,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Lumiose', 'Paldea']"
200,Misdreavus,"['Alola (SM)', 'Alola (USUM)', 'DP', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
201,Unown,"['DP', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
202,Wobbuffet,"['Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos']"
203,Girafarig,"['Blueberry', 'DP', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Johto (GSC)', 'Johto (HgSs)', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
204,Pineco,"['Alola (USUM)', 'Johto (GSC)', 'Johto (HgSs)', 'Paldea']"
205,Forretress,"['Alola (USUM)', 'Johto (GSC)', 'Johto (HgSs)', 'Paldea']"
206,Dunsparce,"['Alola (USUM)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kitakami', 'Paldea', 'Unova (B2W2)']"
207,Gligar,"['Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kitakami', 'Sinnoh (Pt)', 'Unova (B2W2)']"
208,Steelix,"['DP', 'Galar', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Lumiose', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
209,Snubbull,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos']"
210,Granbull,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos']"
211,Qwilfish,"['Blueberry', 'Galar', 'Hisui ', 'Hyperspace', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Paldea']"
212,Scizor,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Hisui ', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Lumiose', 'Paldea', 'Sinnoh (Pt)']"
213,Shuckle,"['Crown_Tundra', 'Galar', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Unova (B2W2)']"
214,Heracross,"['Alola (USUM)', 'DP', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kitakami', 'Lumiose', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
215,Sneasel,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'DP', 'Galar', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kitakami', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
216,Teddiursa,"['Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Paldea']"
217,Ursaring,"['Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Paldea']"
218,Slugma,"['Hoenn (ORAS)', 'Hoenn (RSE)', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kitakami']"
219,Magcargo,"['Hoenn (ORAS)', 'Hoenn (RSE)', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kitakami']"
220,Swinub,"['Crown_Tundra', 'Galar', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kitakami', 'Sinnoh (Pt)', 'Unova (B2W2)']"
221,Piloswine,"['Crown_Tundra', 'Galar', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kitakami', 'Sinnoh (Pt)', 'Unova (B2W2)']"
222,Corsola,"['Alola (SM)', 'Alola (USUM)', 'Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Unova (B2W2)']"
223,Remoraid,"['Alola (USUM)', 'DP', 'Galar', 'Hisui ', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
224,Octillery,"['Alola (USUM)', 'DP', 'Galar', 'Hisui ', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
225,Delibird,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'Galar', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Lumiose', 'Paldea', 'Unova (B2W2)']"
226,Mantine,"['Alola (USUM)', 'DP', 'Galar', 'Hisui ', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
227,Skarmory,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Lumiose', 'Unova (B2W2)']"
228,Houndour,"['Alola (USUM)', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kitakami', 'Lumiose', 'Paldea', 'Sinnoh (Pt)']"
229,Houndoom,"['Alola (USUM)', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kitakami', 'Lumiose', 'Paldea', 'Sinnoh (Pt)']"
230,Kingdra,"['Blueberry', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos']"
231,Phanpy,"['Hoenn (ORAS)', 'Hoenn (RSE)', 'Johto (GSC)', 'Johto (HgSs)', 'Paldea']"
232,Donphan,"['Hoenn (ORAS)', 'Hoenn (RSE)', 'Johto (GSC)', 'Johto (HgSs)', 'Paldea']"
233,Porygon2,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Hisui ', 'Hyperspace', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Sinnoh (Pt)']"
234,Stantler,"['Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kitakami', 'Paldea']"
235,Smeargle,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos']"
236,Tyrogue,"['Blueberry', 'Galar', 'Johto (GSC)', 'Johto (HgSs)']"
237,Hitmontop,"['Blueberry', 'Galar', 'Johto (GSC)', 'Johto (HgSs)']"
238,Smoochum,"['Alola (USUM)', 'Crown_Tundra', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos']"
239,Elekid,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Crown_Tundra', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
240,Magby,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Crown_Tundra', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
241,Miltank,"['Alola (SM)', 'Alola (USUM)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos']"
242,Blissey,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'DP', 'Hisui ', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
243,Raikou,"['Johto (GSC)', 'Johto (HgSs)']"
244,Entei,"['Johto (GSC)', 'Johto (HgSs)']"
245,Suicune,"['Johto (GSC)', 'Johto (HgSs)']"
246,Larvitar,"['Alola (USUM)', 'Crown_Tundra', 'Galar', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Lumiose', 'Paldea', 'Unova (B2W2)']"
247,Pupitar,"['Alola (USUM)', 'Crown_Tundra', 'Galar', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Lumiose', 'Paldea', 'Unova (B2W2)']"
248,Tyranitar,"['Alola (USUM)', 'Crown_Tundra', 'Galar', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Lumiose', 'Paldea', 'Unova (B2W2)']"
249,Lugia,"['Johto (GSC)', 'Johto (HgSs)']"
250,Ho-Oh,"['Johto (GSC)', 'Johto (HgSs)']"
251,Celebi,"['Johto (GSC)', 'Johto (HgSs)']"
252,Treecko,"['Blueberry', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Hyperspace']"
253,Grovyle,"['Blueberry', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Hyperspace']"
254,Sceptile,"['Blueberry', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Hyperspace']"
