National_Dex,Pokemon,Form,RGBY,FrLg,GSC,RSE,DPPt,HgSs,BW,B2W2,XY,OrAs,SM,UsUm,PE,SwSh,BdSp,LA,SV,ZA
127,Pinsir,,"['Green', 'Blue', 'Yellow']",['Leaf Green'],"['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']",['Platinum'],"['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']",['X'],"['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],['Lets Go Eevee'],['Sword'],['Shining Pearl'],[],[],['Legends ZA']
128,Tauros,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",[],[],"['X', 'Y']",[],"['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
128,Tauros,Aqua Breed,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Violet'],[]
128,Tauros,Blaze Breed,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Scarlet'],[]
128,Tauros,Paldean,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Scarlet', 'Violet']",[]
129,Magikarp,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",['Legends ZA']
130,Gyarados,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",['Legends ZA']
131,Lapras,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']",[],"['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
132,Ditto,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",['Emerald'],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
133,Eevee,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",[],"['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",['Legends ZA']
134,Vaporeon,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",[],"['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",['Legends ZA']
135,Jolteon,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",[],"['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",['Legends ZA']
136,Flareon,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",[],"['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",['Legends ZA']
137,Porygon,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],[],[],"['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",['Legends ZA']
138,Omanyte,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']",[],[],"['Diamond', 'Pearl', 'Platinum']",['Heart Gold'],"['Black', 'White']","['Black 2', 'White 2']",['Y'],['Alpha Sapphire'],[],[],"['Lets Go Pikachu', 'Lets Go Eevee']",['Sword'],"['Brilliant Diamond', 'Shining Pearl']",[],[],[]
139,Omastar,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']",[],[],"['Diamond', 'Pearl', 'Platinum']",['Heart Gold'],"['Black', 'White']","['Black 2', 'White 2']",['Y'],['Alpha Sapphire'],[],[],"['Lets Go Pikachu', 'Lets Go Eevee']",['Sword'],"['Brilliant Diamond', 'Shining Pearl']",[],[],[]
140,Kabuto,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']",[],[],"['Diamond', 'Pearl', 'Platinum']",['Soul Silver'],"['Black', 'White']","['Black 2', 'White 2']",['Y'],['Omega Ruby'],[],[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],[],[]
141,Kabutops,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']",[],[],"['Diamond', 'Pearl', 'Platinum']",['Soul Silver'],"['Black', 'White']","['Black 2', 'White 2']",['Y'],['Omega Ruby'],[],[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],[],[]
142,Aerodactyl,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],[],['Legends ZA']
143,Snorlax,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']",[],"['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",[]
144,Articuno,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']",[],[],['Platinum'],"['Heart Gold', 'Soul Silver']",[],[],"['X', 'Y']",[],[],[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']",['Shining Pearl'],[],"['Scarlet', 'Violet']",[]
144,Articuno,Galarian,[],[],[],[],[],[],[],[],[],[],[],[],[],"['Sword', 'Shield']",[],[],"['Scarlet', 'Violet']",[]
145,Zapdos,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']",[],[],['Platinum'],"['Heart Gold', 'Soul Silver']",[],[],"['X', 'Y']",[],[],[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']",['Shining Pearl'],[],"['Scarlet', 'Violet']",[]
145,Zapdos,Galarian,[],[],[],[],[],[],[],[],[],[],[],[],[],"['Sword', 'Shield']",[],[],"['Scarlet', 'Violet']",[]
146,Moltres,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']",[],[],['Platinum'],"['Heart Gold', 'Soul Silver']",[],[],"['X', 'Y']",[],[],[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']",['Shining Pearl'],[],"['Scarlet', 'Violet']",[]
146,Moltres,Galarian,[],[],[],[],[],[],[],[],[],[],[],[],[],"['Sword', 'Shield']",[],[],"['Scarlet', 'Violet']",[]
147,Dratini,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']",[],"['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
148,Dragonair,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']",[],"['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
149,Dragonite,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']",[],"['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
150,Mewtwo,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']",[],[],[],"['Heart Gold', 'Soul Silver']",[],[],"['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
151,Mew,,"['Red', 'Green', 'Blue', 'Yellow']",[],[],[],[],"['Heart Gold', 'Soul Silver']",[],[],"['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
152,Chikorita,,[],[],"['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']",[],"['Heart Gold', 'Soul Silver']",[],[],[],"['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
153,Bayleef,,[],[],"['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']",[],"['Heart Gold', 'Soul Silver']",[],[],[],"['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
154,Meganium,,[],[],"['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']",[],"['Heart Gold', 'Soul Silver']",[],[],[],"['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
155,Cyndaquil,,[],[],"['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']",[],"['Heart Gold', 'Soul Silver']",[],[],[],"['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],[],"['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",[]
156,Quilava,,[],[],"['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']",[],"['Heart Gold', 'Soul Silver']",[],[],[],"['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],[],"['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",[]
157,Typhlosion,,[],[],"['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']",[],"['Heart Gold', 'Soul Silver']",[],[],[],"['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
157,Typhlosion,Hisuian,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Legends Arceus'],"['Scarlet', 'Violet']",[]
158,Totodile,,[],[],"['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']",[],"['Heart Gold', 'Soul Silver']",[],[],[],"['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
159,Croconaw,,[],[],"['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']",[],"['Heart Gold', 'Soul Silver']",[],[],[],"['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
160,Feraligatr,,[],[],"['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']",[],"['Heart Gold', 'Soul Silver']",[],[],[],"['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
161,Sentret,,[],"['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']",[],[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
162,Furret,,[],"['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']",[],[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
163,Hoothoot,,[],[],"['Gold', 'Silver', 'Crystal']",['Emerald'],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']",[],[],[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
164,Noctowl,,[],[],"['Gold', 'Silver', 'Crystal']",['Emerald'],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']",[],[],[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
165,Ledyba,,[],"['Fire Red', 'Leaf Green']","['Silver', 'Crystal']",['Emerald'],"['Diamond', 'Pearl', 'Platinum']",['Soul Silver'],"['Black', 'White']",['White 2'],"['X', 'Y']",[],"['Sun', 'Moon']",[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],[],[]
166,Ledian,,[],"['Fire Red', 'Leaf Green']","['Silver', 'Crystal']",['Emerald'],"['Diamond', 'Pearl', 'Platinum']",['Soul Silver'],"['Black', 'White']",['White 2'],"['X', 'Y']",[],"['Sun', 'Moon']",[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],[],[]
167,Spinarak,,[],"['Fire Red', 'Leaf Green']","['Gold', 'Crystal']",['Emerald'],"['Diamond', 'Pearl', 'Platinum']",['Heart Gold'],"['Black', 'White']",['Black 2'],"['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
168,Ariados,,[],"['Fire Red', 'Leaf Green']","['Gold', 'Crystal']",['Emerald'],"['Diamond', 'Pearl', 'Platinum']",['Heart Gold'],"['Black', 'White']",['Black 2'],"['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
169,Crobat,,[],"['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],[],['Legends ZA']
170,Chinchou,,[],[],"['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
171,Lanturn,,[],[],"['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
172,Cleffa,,[],[],[],[],[],[],[],[],[],[],[],[],[],"['Sword', 'Shield']",[],[],[],[]
172,Pichu,,[],"['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",[],[],"['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",['Legends ZA']
173,Cleffa,,[],"['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],[],"['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",['Legends ZA']
174,Igglybuff,,[],"['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
175,Togepi,,[],"['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],"['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],[],[]
176,Togetic,,[],"['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],"['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],[],[]
177,Natu,,[],"['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",[],"['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],[],[]
178,Xatu,,[],"['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",[],"['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],[],[]
179,Mareep,,[],[],"['Gold', 'Silver']",['Emerald'],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],"['Black 2', 'White 2']","['X', 'Y']",[],[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
180,Flaaffy,,[],[],"['Gold', 'Silver']",['Emerald'],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],"['Black 2', 'White 2']","['X', 'Y']",[],[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
181,Ampharos,,[],[],"['Gold', 'Silver']",['Emerald'],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],"['Black 2', 'White 2']","['X', 'Y']",[],[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
182,Bellossom,,[],['Fire Red'],"['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],[],"['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
183,Marill,,[],['Leaf Green'],"['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],"['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
184,Azumarill,,[],['Leaf Green'],"['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],"['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
185,Sudowoodo,,[],[],"['Gold', 'Silver', 'Crystal']",['Emerald'],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",[],['Black 2'],"['X', 'Y']",[],"['Sun', 'Moon']",[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",[]
186,Politoed,,[],"['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']",[],"['Sun', 'Moon']",[],[],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
187,Hoppip,,[],"['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],"['Black 2', 'White 2']","['X', 'Y']",[],[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
188,Skiploom,,[],"['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],"['Black 2', 'White 2']","['X', 'Y']",[],[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
189,Jumpluff,,[],"['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],"['Black 2', 'White 2']","['X', 'Y']",[],[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
190,Aipom,,[],[],"['Gold', 'Silver', 'Crystal']",['Emerald'],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",[],"['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],['Violet'],[]
191,Sunkern,,[],[],"['Gold', 'Silver', 'Crystal']",['Emerald'],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
192,Sunflora,,[],[],"['Gold', 'Silver', 'Crystal']",['Emerald'],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],[],[],"['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
